Signal, Bid (sell price), Ask (buy price), Max Close in 240 Hour(s), Target, Time
1, 1.30666, 1.30715, 1.31427, 0.5449007392894874, 2013.02.26 00:00:00
1, 1.30509, 1.30596, 1.31427, 0.6367376962508534, 2013.02.25 00:00:00
0, 1.31882, 1.31901, 1.31427, -0.359412201816773, 2013.02.24 00:00:00
0, 1.31907, 1.31949, 1.31882, -0.0507933619898829, 2013.02.22 00:00:00
0, 1.32179, 1.32238, 1.31907, -0.2504179937811715, 2013.02.21 00:00:00
0, 1.32622, 1.32683, 1.32179, -0.3800274464266814, 2013.02.20 00:00:00
0, 1.34122, 1.34184, 1.32622, -1.164611324018445, 2013.02.19 00:00:00
0, 1.33486, 1.33544, 1.34122, 0.4330042101793535, 2013.02.18 00:00:00
1, 1.33318, 1.33346, 1.34122, 0.5820669376978344, 2013.02.17 00:00:00
0, 1.33585, 1.33624, 1.34122, 0.3727963468952507, 2013.02.15 00:00:00
0, 1.33667, 1.33751, 1.34122, 0.2775554175675449, 2013.02.14 00:00:00
0, 1.3444, 1.34508, 1.34122, -0.2871169294852703, 2013.02.13 00:00:00
0, 1.34432, 1.34498, 1.3444, -0.04314448940728584, 2013.02.12 00:00:00
0, 1.3389, 1.33942, 1.3444, 0.3719471207707809, 2013.02.11 00:00:00
1, 1.33675, 1.33705, 1.3444, 0.5498410323546056, 2013.02.10 00:00:00
1, 1.33614, 1.3368, 1.3444, 0.5688026703788564, 2013.02.08 00:00:00
0, 1.34126, 1.3418, 1.3444, 0.1938475761597256, 2013.02.07 00:00:00
0, 1.35086, 1.35138, 1.3444, -0.5167078749833429, 2013.02.06 00:00:00
0, 1.35786, 1.35833, 1.35086, -0.5501303521718062, 2013.02.05 00:00:00
1, 1.34917, 1.34964, 1.35786, 0.6092634730982839, 2013.02.04 00:00:00
0, 1.36291, 1.36315, 1.35786, -0.3881400826173421, 2013.02.03 00:00:00
0, 1.36391, 1.36442, 1.36291, -0.110711117302454, 2013.02.01 00:00:00
0, 1.36167, 1.36213, 1.36391, 0.1307218342182845, 2013.01.31 00:00:00
0, 1.35706, 1.35759, 1.36391, 0.4657126435087693, 2013.01.30 00:00:00
1, 1.34879, 1.34924, 1.36391, 1.08764151572891, 2013.01.29 00:00:00
1, 1.34537, 1.34571, 1.36391, 1.352787708957387, 2013.01.28 00:00:00
1, 1.34539, 1.3457, 1.36391, 1.353510877886697, 2013.01.27 00:00:00
1, 1.34629, 1.34687, 1.36391, 1.265700554858162, 2013.01.25 00:00:00
1, 1.33545, 1.33593, 1.36391, 2.095173911415619, 2013.01.24 00:00:00
